benchmark-suite/bst-left-right.py: failure -- 240s, 21 lemmas proposed
benchmark-suite/bst-left.py: success -- 57s, 9 lemmas proposed
benchmark-suite/bst-leftmost.py: failure -- 240s, 22 lemmas proposed
benchmark-suite/bst-maximal.py: success -- 7s, 7 lemmas proposed
benchmark-suite/bst-minimal.py: success -- 6s, 6 lemmas proposed
benchmark-suite/bst-right.py: success -- 97s, 8 lemmas proposed
benchmark-suite/bst-tree.py: success -- 3s, 2 lemmas proposed
benchmark-suite/cyclic-next.py: success -- 123s, 11 lemmas proposed
benchmark-suite/dag-reach.py: success -- 9s, 8 lemmas proposed
benchmark-suite/dag-reach2.py: success -- 6s, 6 lemmas proposed
benchmark-suite/dlist-list.py: success -- 1s, 2 lemmas proposed
benchmark-suite/even-list.py: success -- 1s, 2 lemmas proposed
benchmark-suite/list-even-or-odd.py: success -- 124s, 10 lemmas proposed
benchmark-suite/list-hlist-list.py: success -- 2s, 7 lemmas proposed
benchmark-suite/list-hlist-lseg.py: success -- 11s, 9 lemmas proposed
benchmark-suite/list-lseg-keys.py: success -- 6s, 10 lemmas proposed
benchmark-suite/list-lseg-keys2.py: success -- 3s, 5 lemmas proposed
benchmark-suite/listlen-list.py: success -- 1s, 2 lemmas proposed
benchmark-suite/lseg-ext.py: failure -- 240s, 12 lemmas proposed
benchmark-suite/lseg-list.py: success -- 5s, 5 lemmas proposed
benchmark-suite/lseg-next-dyn.py: success -- 1s, 4 lemmas proposed
benchmark-suite/lseg-next.py: success -- 48s, 8 lemmas proposed
benchmark-suite/lseg-nil-list.py: success -- 4s, 5 lemmas proposed
benchmark-suite/lseg-trans.py: success -- 131s, 15 lemmas proposed
benchmark-suite/lseg-trans2.py: success -- 72s, 7 lemmas proposed
benchmark-suite/maxheap-dag.py: success -- 3s, 3 lemmas proposed
benchmark-suite/maxheap-htree-key.py: failure -- 240s, 23 lemmas proposed
benchmark-suite/maxheap-keys.py: success -- 133s, 8 lemmas proposed
benchmark-suite/maxheap-tree.py: success -- 2s, 3 lemmas proposed
benchmark-suite/odd-list.py: success -- 1s, 3 lemmas proposed
benchmark-suite/reach-left-right.py: success -- 12s, 6 lemmas proposed
benchmark-suite/reachability.py: success -- 143s, 7 lemmas proposed
benchmark-suite/reachability2.py: success -- 3s, 4 lemmas proposed
benchmark-suite/reachability3.py: success -- 5s, 4 lemmas proposed
benchmark-suite/reachability4.py: success -- 2s, 3 lemmas proposed
benchmark-suite/reachability5.py: success -- 37s, 5 lemmas proposed
benchmark-suite/reachability6.py: success -- 3s, 3 lemmas proposed
benchmark-suite/rlist-black-height.py: success -- 227s, 19 lemmas proposed
benchmark-suite/rlist-list.py: success -- 1s, 2 lemmas proposed
benchmark-suite/rlist-red-height.py: success -- 233s, 19 lemmas proposed
benchmark-suite/sdlist-dlist-slist.py: success -- 2s, 4 lemmas proposed
benchmark-suite/sdlist-dlist.py: success -- 1s, 2 lemmas proposed
benchmark-suite/slist-list.py: success -- 1s, 2 lemmas proposed
benchmark-suite/slseg-nil-slist.py: success -- 6s, 8 lemmas proposed
benchmark-suite/tree-dag.py: success -- 1s, 3 lemmas proposed
benchmark-suite/tree-p-reach-tree.py: success -- 63s, 16 lemmas proposed
benchmark-suite/tree-p-reach.py: success -- 54s, 13 lemmas proposed
benchmark-suite/tree-p-tree.py: success -- 1s, 2 lemmas proposed
benchmark-suite/tree-reach.py: success -- 49s, 12 lemmas proposed
benchmark-suite/tree-reach2.py: success -- 52s, 14 lemmas proposed
